id,company,contact_name,first_name,role,trade_niche,division,city,state,region,email,phone,website,sample_project_proof,sample_file_reference,verification_status,deliverability_score,target_outreach_day,pipeline_status,subject,typical_value
1242,Titan Electrix Partners,Jeff Hernandez,Jeff,President,MEP - Plumbing & Piping,Division 22 - Plumbing,Atlanta,GA,Southeast,jhernandez@titanelectrix.com,(337) 550-4732,https://www.titanelectrix.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,4,Ready for Dispatch,"Jeff, takeoff support for Titan Electrix Partners?",$300 - $650 per project
1243,Beacon Sheet Metal Builders,Brian Clark,Brian,Preconstruction Director,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Kansas City,MO,Midwest,brian@beaconroofing.com,(487) 291-4048,https://www.beaconroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,5,Ready for Dispatch,"Brian, takeoff support for Beacon Sheet Metal Builders?",$150 - $400 per project
1244,Legacy Commercial Services,Nicole Harris,Nicole,Senior Estimator,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,San Antonio,TX,South,bids@legacybuilds.com,(565) 398-4952,https://www.legacybuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,quick question regarding Legacy Commercial Services's takeoff bandwidth,$250 - $600 per project
1245,Cornerstone Interiors Solutions,Robert Clark,Robert,VP of Operations,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Houston,TX,South,robert.clark@cornerstoneinteriors.com,(927) 624-1743,https://www.cornerstoneinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,7,Ready for Dispatch,bid capacity for Cornerstone Interiors Solutions - 24-48 hr turnaround,$200 - $450 per project
1246,Strategic Flooring Partners,Eric Thomas,Eric,Chief Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Austin,TX,South,bids@strategicflooring.com,(940) 350-3648,https://www.strategicflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,1,Ready for Dispatch,"Eric, takeoff support for Strategic Flooring Partners?",$150 - $350 per project
1247,Cornerstone Systems Associates,Ashley Wilson,Ashley,Managing Partner,MEP - Plumbing & Piping,Division 22 - Plumbing,Dallas-Fort Worth,TX,South,ashley.wilson@cornerstonesystems.com,(520) 338-2476,https://www.cornerstonesystems.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),94,2,Ready for Dispatch,outsource takeoff support for Cornerstone Systems Associates (Dallas-Fort Worth),$300 - $650 per project
1248,Titan Energy Enterprises,Ashley Clark,Ashley,Senior Estimator,MEP - Electrical,Division 26 - Electrical,Denver,CO,Mountain,ashley.clark@titanenergy.com,(473) 665-7163,https://www.titanenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,3,Ready for Dispatch,"Ashley, takeoff support for Titan Energy Enterprises?",$350 - $750 per project
1249,Titan Structures Enterprises,James Taylor,James,President,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Washington DC Metro,DC/VA/MD,Mid-Atlantic,james.taylor@titanconcrete.com,(478) 418-1020,https://www.titanconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,"James, takeoff support for Titan Structures Enterprises?",$300 - $800 per project
1250,Vertex Coatings Solutions,Robert Jackson,Robert,Owner,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Chicago,IL,Midwest,estimating@vertexcoatings.com,(367) 399-2048,https://www.vertexcoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),97,5,Ready for Dispatch,"Robert, takeoff support for Vertex Coatings Solutions?",$150 - $350 per project
1251,Benchmark Builders Contractors,Mark Clark,Mark,President,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Atlanta,GA,Southeast,mark@benchmarkbuilds.com,(465) 598-8273,https://www.benchmarkbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,6,Ready for Dispatch,outsource takeoff support for Benchmark Builders Contractors (Atlanta),$250 - $600 per project
1252,Summit Electrix Partners,Jeff Lopez,Jeff,Chief Estimator,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Charlotte,NC,Southeast,jeff.lopez@summitelectrix.com,(454) 983-9578,https://www.summitelectrix.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),97,7,Ready for Dispatch,"Jeff, takeoff support for Summit Electrix Partners?",$350 - $700 per project
1253,Titan Systems Enterprises,James Davis,James,Managing Partner,MEP - Plumbing & Piping,Division 22 - Plumbing,Phoenix,AZ,Southwest,james@titansystems.com,(549) 644-5099,https://www.titansystems.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,1,Ready for Dispatch,scaling your MEP - Plumbing & Piping bid volume without hiring full-time,$300 - $650 per project
1254,Paramount Energy Systems,Jennifer Perez,Jennifer,Senior Estimator,MEP - Electrical,Division 26 - Electrical,Denver,CO,Mountain,jperez@paramountenergy.com,(291) 317-1911,https://www.paramountenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,2,Ready for Dispatch,quick question regarding Paramount Energy Systems's takeoff bandwidth,$350 - $750 per project
1255,Alliance Roof Systems Solutions,Megan Williams,Megan,Managing Partner,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Kansas City,MO,Midwest,megan.williams@allianceroofing.com,(483) 370-4402,https://www.allianceroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,3,Ready for Dispatch,bid capacity for Alliance Roof Systems Solutions - 24-48 hr turnaround,$150 - $400 per project
1256,Metro Structures Solutions,Sarah Jones,Sarah,Managing Partner,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Houston,TX,South,estimating@metroconcrete.com,(576) 470-6511,https://www.metroconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,4,Ready for Dispatch,bid capacity for Metro Structures Solutions - 24-48 hr turnaround,$300 - $800 per project
1257,Cornerstone General Contracting Builders,Jennifer Gonzalez,Jennifer,Owner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),San Antonio,TX,South,jennifer.gonzalez@cornerstonebuilds.com,(883) 579-2035,https://www.cornerstonebuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,5,Ready for Dispatch,scaling your Commercial General Contractors bid volume without hiring full-time,"$600 - $1,800 per project (or $2,000/mo retainer)"
1258,Premier Exterior Builders,James White,James,Chief Estimator,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Austin,TX,South,james@premierroofing.com,(423) 630-6862,https://www.premierroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,6,Ready for Dispatch,outsource takeoff support for Premier Exterior Builders (Austin),$150 - $400 per project
1259,Pinnacle Systems Solutions,Paul Lopez,Paul,Managing Partner,MEP - Electrical,Division 26 - Electrical,Orlando,FL,Southeast,paul@pinnaclesystems.com,(342) 381-5527,https://www.pinnaclesystems.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,7,Ready for Dispatch,"Paul, takeoff support for Pinnacle Systems Solutions?",$350 - $750 per project
1260,Legacy Systems Contractors,Scott Wilson,Scott,Chief Estimator,MEP - Electrical,Division 26 - Electrical,Columbus,OH,Midwest,scott@legacysystems.com,(456) 792-1294,https://www.legacysystems.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),95,1,Ready for Dispatch,outsource takeoff support for Legacy Systems Contractors (Columbus),$350 - $750 per project
1261,Summit Tile Solutions,Jason Hernandez,Jason,Chief Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Chicago,IL,Midwest,jhernandez@summitflooring.com,(333) 987-7648,https://www.summitflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,2,Ready for Dispatch,quick question regarding Summit Tile Solutions's takeoff bandwidth,$150 - $350 per project
1262,Vanguard Commercial Associates,Megan Moore,Megan,Senior Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Washington DC Metro,DC/VA/MD,Mid-Atlantic,bids@vanguardbuilds.com,(940) 453-2404,https://www.vanguardbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,outsource takeoff support for Vanguard Commercial Associates (Washington DC Metro),"$600 - $1,800 per project (or $2,000/mo retainer)"
1263,Paramount General Contracting Enterprises,Jason Sanchez,Jason,President,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Philadelphia,PA,Northeast,estimating@paramountbuilds.com,(758) 419-8489,https://www.paramountbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,"Jason, takeoff support for Paramount General Contracting Enterprises?",$250 - $600 per project
1264,Matrix Builders Group,Megan Gonzalez,Megan,VP of Operations,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Portland,OR,Northwest,estimating@matrixbuilds.com,(366) 505-9066,https://www.matrixbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,5,Ready for Dispatch,"Megan, takeoff support for Matrix Builders Group?","$600 - $1,800 per project (or $2,000/mo retainer)"
1265,Vanguard Electric Solutions,John Sanchez,John,Chief Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,Minneapolis-St. Paul,MN,Midwest,estimating@vanguardelectric.com,(766) 896-7878,https://www.vanguardelectric.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,6,Ready for Dispatch,bid capacity for Vanguard Electric Solutions - 24-48 hr turnaround,$300 - $650 per project
1266,Vertex Structures Services,Brian Lee,Brian,Preconstruction Director,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Los Angeles,CA,West,brian@vertexconcrete.com,(970) 917-1911,https://www.vertexconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,7,Ready for Dispatch,bid capacity for Vertex Structures Services - 24-48 hr turnaround,$300 - $800 per project
1267,Vertex Tile Services,Kevin Rodriguez,Kevin,Chief Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),San Antonio,TX,South,estimating@vertexflooring.com,(244) 645-5749,https://www.vertexflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,1,Ready for Dispatch,scaling your Flooring & Tile bid volume without hiring full-time,$150 - $350 per project
1268,Apex Structures Partners,Megan Martinez,Megan,Preconstruction Director,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,San Francisco Bay Area,CA,West,megan.martinez@apexconcrete.com,(397) 559-8212,https://www.apexconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,2,Ready for Dispatch,"Megan, takeoff support for Apex Structures Partners?",$300 - $800 per project
1269,Benchmark Surfaces Systems,Jennifer Thompson,Jennifer,Chief Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Austin,TX,South,jennifer@benchmarkflooring.com,(900) 256-1961,https://www.benchmarkflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,3,Ready for Dispatch,outsource takeoff support for Benchmark Surfaces Systems (Austin),$150 - $350 per project
1270,Titan Energy Construction,Paul Harris,Paul,Owner,MEP - Electrical,Division 26 - Electrical,Denver,CO,Mountain,paul.harris@titanenergy.com,(668) 586-5121,https://www.titanenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,"Paul, takeoff support for Titan Energy Construction?",$350 - $750 per project
1271,Vanguard Tile Builders,Jeff Hernandez,Jeff,VP of Operations,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Nashville,TN,Southeast,bids@vanguardflooring.com,(564) 646-7820,https://www.vanguardflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,5,Ready for Dispatch,quick question regarding Vanguard Tile Builders's takeoff bandwidth,$150 - $350 per project
1272,Premier Commercial Paint Contractors,Paul Robinson,Paul,Chief Estimator,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Kansas City,MO,Midwest,probinson@premiercoatings.com,(304) 812-3973,https://www.premiercoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,"Paul, takeoff support for Premier Commercial Paint Contractors?",$150 - $350 per project
1273,Apex Builders Services,Ashley Robinson,Ashley,VP of Operations,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Houston,TX,South,ashley.robinson@apexbuilds.com,(312) 355-5947,https://www.apexbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,7,Ready for Dispatch,"Ashley, takeoff support for Apex Builders Services?",$250 - $600 per project
1274,Vanguard Masonry Associates,John Garcia,John,Owner,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Austin,TX,South,bids@vanguardconcrete.com,(664) 317-3098,https://www.vanguardconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,"John, takeoff support for Vanguard Masonry Associates?",$300 - $800 per project
1275,Paramount Wall Systems Solutions,Sarah Jackson,Sarah,Owner,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Phoenix,AZ,Southwest,sjackson@paramountinteriors.com,(976) 389-4683,https://www.paramountinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,2,Ready for Dispatch,"Sarah, takeoff support for Paramount Wall Systems Solutions?",$200 - $450 per project
1276,Integrity Drywall Systems,Brian Wilson,Brian,Managing Partner,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Austin,TX,South,estimating@integrityinteriors.com,(294) 804-6153,https://www.integrityinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,"Brian, takeoff support for Integrity Drywall Systems?",$200 - $450 per project
1277,Matrix Electric Solutions,Matthew Rodriguez,Matthew,VP of Operations,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Austin,TX,South,matthew.rodriguez@matrixelectric.com,(233) 545-8070,https://www.matrixelectric.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),97,4,Ready for Dispatch,bid capacity for Matrix Electric Solutions - 24-48 hr turnaround,$350 - $700 per project
1278,Vertex Energy Builders,Greg Brown,Greg,VP of Operations,MEP - Electrical,Division 26 - Electrical,San Francisco Bay Area,CA,West,bids@vertexenergy.com,(787) 864-4129,https://www.vertexenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,5,Ready for Dispatch,bid capacity for Vertex Energy Builders - 24-48 hr turnaround,$350 - $750 per project
1279,Apex Energy Enterprises,Ashley Jones,Ashley,President,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Sacramento,CA,West,ashley@apexenergy.com,(307) 317-4840,https://www.apexenergy.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,bid capacity for Apex Energy Enterprises - 24-48 hr turnaround,$350 - $700 per project
1280,Pinnacle Framing Solutions,Eric Thompson,Eric,VP of Operations,Drywall & Framing,Division 09 - Finishes / 05 - Metals,San Antonio,TX,South,eric.thompson@pinnacleinteriors.com,(649) 718-9884,https://www.pinnacleinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,7,Ready for Dispatch,"Eric, takeoff support for Pinnacle Framing Solutions?",$200 - $450 per project
1281,Beacon Power Contractors,Jason Martin,Jason,VP of Operations,MEP - Electrical,Division 26 - Electrical,Minneapolis-St. Paul,MN,Midwest,bids@beaconpower.com,(889) 385-1165,https://www.beaconpower.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,1,Ready for Dispatch,bid capacity for Beacon Power Contractors - 24-48 hr turnaround,$350 - $750 per project
1282,Trident Electric Contractors,Scott Williams,Scott,Preconstruction Director,MEP - Plumbing & Piping,Division 22 - Plumbing,San Diego,CA,West,scott@tridentelectric.com,(746) 361-6366,https://www.tridentelectric.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,2,Ready for Dispatch,outsource takeoff support for Trident Electric Contractors (San Diego),$300 - $650 per project
1283,Pinnacle Energy Associates,Jason Harris,Jason,Chief Estimator,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Columbus,OH,Midwest,estimating@pinnacleenergy.com,(855) 897-5613,https://www.pinnacleenergy.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),95,3,Ready for Dispatch,bid capacity for Pinnacle Energy Associates - 24-48 hr turnaround,$350 - $700 per project
1284,Summit General Contracting Services,Daniel Moore,Daniel,Preconstruction Director,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Boston,MA,Northeast,estimating@summitbuilds.com,(871) 545-5881,https://www.summitbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,4,Ready for Dispatch,scaling your Residential Custom Builders & Remodelers bid volume without hiring full-time,$250 - $600 per project
1285,Strategic Roof Systems Group,Anthony Smith,Anthony,President,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Tampa-St. Petersburg,FL,Southeast,anthony.smith@strategicroofing.com,(841) 810-8939,https://www.strategicroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,5,Ready for Dispatch,quick question regarding Strategic Roof Systems Group's takeoff bandwidth,$150 - $400 per project
1286,United Electrix Associates,Lisa Jones,Lisa,Preconstruction Director,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",New York Metro,NY,Northeast,estimating@unitedelectrix.com,(822) 784-5642,https://www.unitedelectrix.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),96,6,Ready for Dispatch,scaling your MEP - Mechanical & HVAC bid volume without hiring full-time,$350 - $700 per project
1287,Precision Interiors Services,Matthew Lee,Matthew,Senior Estimator,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Los Angeles,CA,West,matthew.lee@precisioninteriors.com,(871) 846-3792,https://www.precisioninteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,7,Ready for Dispatch,bid capacity for Precision Interiors Services - 24-48 hr turnaround,$200 - $450 per project
1288,Trident Construction Builders,Kevin Miller,Kevin,VP of Operations,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Austin,TX,South,kevin.miller@tridentbuilds.com,(769) 243-3409,https://www.tridentbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,outsource takeoff support for Trident Construction Builders (Austin),"$600 - $1,800 per project (or $2,000/mo retainer)"
1289,Pinnacle Electric Contractors,Paul Jones,Paul,VP of Operations,MEP - Plumbing & Piping,Division 22 - Plumbing,Boston,MA,Northeast,bids@pinnacleelectric.com,(963) 380-1713,https://www.pinnacleelectric.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,2,Ready for Dispatch,"Paul, takeoff support for Pinnacle Electric Contractors?",$300 - $650 per project
1290,Metro Tile Systems,Amanda Johnson,Amanda,Senior Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),New York Metro,NY,Northeast,ajohnson@metroflooring.com,(405) 591-9245,https://www.metroflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,3,Ready for Dispatch,outsource takeoff support for Metro Tile Systems (New York Metro),$150 - $350 per project
1291,Matrix Tile Services,Matthew Johnson,Matthew,Preconstruction Director,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Atlanta,GA,Southeast,matthew@matrixflooring.com,(266) 852-8539,https://www.matrixflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,4,Ready for Dispatch,scaling your Flooring & Tile bid volume without hiring full-time,$150 - $350 per project
1292,Apex Coatings Solutions,Daniel Johnson,Daniel,Managing Partner,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Raleigh-Durham,NC,Southeast,daniel@apexcoatings.com,(831) 528-1690,https://www.apexcoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),98,5,Ready for Dispatch,scaling your Painting & Wallcovering bid volume without hiring full-time,$150 - $350 per project
1293,Vertex Flooring Partners,Michael Lewis,Michael,Preconstruction Director,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Indianapolis,IN,Midwest,estimating@vertexflooring.com,(662) 610-3253,https://www.vertexflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,6,Ready for Dispatch,quick question regarding Vertex Flooring Partners's takeoff bandwidth,$150 - $350 per project
1294,Matrix Surfaces Contractors,Brian Ramirez,Brian,Preconstruction Director,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Washington DC Metro,DC/VA/MD,Mid-Atlantic,estimating@matrixflooring.com,(947) 588-3044,https://www.matrixflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,7,Ready for Dispatch,"Brian, takeoff support for Matrix Surfaces Contractors?",$150 - $350 per project
1295,Summit Systems Associates,Amanda Moore,Amanda,VP of Operations,MEP - Electrical,Division 26 - Electrical,Nashville,TN,Southeast,bids@summitsystems.com,(843) 778-8975,https://www.summitsystems.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),97,1,Ready for Dispatch,scaling your MEP - Electrical bid volume without hiring full-time,$350 - $750 per project
1296,Metro Wall Systems Enterprises,Chris Hernandez,Chris,VP of Operations,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Denver,CO,Mountain,chernandez@metrointeriors.com,(501) 712-9203,https://www.metrointeriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,2,Ready for Dispatch,bid capacity for Metro Wall Systems Enterprises - 24-48 hr turnaround,$200 - $450 per project
1297,Benchmark Electrix Construction,Robert Smith,Robert,VP of Operations,MEP - Electrical,Division 26 - Electrical,Las Vegas,NV,Southwest,bids@benchmarkelectrix.com,(652) 517-3852,https://www.benchmarkelectrix.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,3,Ready for Dispatch,outsource takeoff support for Benchmark Electrix Construction (Las Vegas),$350 - $750 per project
1298,Trident Builders Construction,James Clark,James,Owner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Kansas City,MO,Midwest,bids@tridentbuilds.com,(737) 694-2065,https://www.tridentbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,quick question regarding Trident Builders Construction's takeoff bandwidth,"$600 - $1,800 per project (or $2,000/mo retainer)"
1299,Pinnacle Commercial Partners,James Garcia,James,President,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Denver,CO,Mountain,jgarcia@pinnaclebuilds.com,(975) 682-5567,https://www.pinnaclebuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,5,Ready for Dispatch,"James, takeoff support for Pinnacle Commercial Partners?",$250 - $600 per project
1300,Cornerstone Systems Construction,Daniel Moore,Daniel,Owner,MEP - Electrical,Division 26 - Electrical,New York Metro,NY,Northeast,dmoore@cornerstonesystems.com,(570) 518-5367,https://www.cornerstonesystems.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),97,6,Ready for Dispatch,bid capacity for Cornerstone Systems Construction - 24-48 hr turnaround,$350 - $750 per project
